Brand,Store Name,Address,Latitude,Longitude
Starbucks,Starbucks Menara TA One,"Ground Floor, Menara TA One, 22, Jalan P. Ramlee, 50250 Kuala Lumpur",3.1566461,101.7097274
Starbucks,Tin Village,"lot 312205, Jalan Batu Karang, Taman Kolej Perdana, 31900 Kampar, Perak",4.3280891,101.146982
Starbucks,Starbucks Kiara Bay DT,"No. R-23, Kiara Bay, Kepong Metropolitan Park, Jln Lingkaran Tengah 2, 52100 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.2260067,101.650835
Starbucks,Starbucks,"Lot PTD 200670, Jalan Medini Selatan 1, Sunway Iskandar City, 79250 Iskandar Puteri, Johor",1.3973511,103.6314033
Starbucks,Starbucks,"1, Jalan Kuchai Maju 11, Kuchai Entrepreneurs Park, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.0905441,101.6888093
Starbucks,Starbucks Reserve,"S226B, 2nd Floor, The Gardens Mall, Mid Valley City, 58000 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.118537700000001,101.6763026
Starbucks,Starbucks Coffee Green Hall,"Ground Floor, Lot 1, Jalan Green Hall, Georgetown, 10200 George Town, Penang",5.421273999999999,100.3394125
Starbucks,Starbucks Sentul Point,"A-G-18, Sentul Point, 8, Jln Sentul Pasar, Sentul, 51000 Kuala Lumpur, WP Kuala Lumpur",3.2019305,101.6893527
Starbucks,Starbucks Icon City DT,"Ground & Mezzanine Floor, 1, Jln Icon City, Icon City, 14000, Penang",5.3454594,100.4345474
Starbucks,Starbucks Tanjong Malim,"Shop 4, Lot 232, Jalan Tanjong, Proton City, 35900 Tanjong Malim, Perak",3.6913454,101.5228092
Starbucks,Starbucks,"Lot No. G.013, Ground Floor, The Square, Jaya One, Jln Profesor Diraja Ungku Aziz, Seksyen 13, 46300, Selangor",3.1177005,101.6355542
Starbucks,Starbucks Wisma UOA,"19-1-2, Ground Floor, UOA Centre, 50450, Federal Territory of Kuala Lumpur",3.1526848,101.7119537
Starbucks,Starbucks @Desa Sri Hartamas,"22, Jalan 25/70a, Desa Sri Hartamas, 59400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.162343,101.6504582
Starbucks,Starbucks Petronas Plus DT,"Stesen Minyak Petronas, KM 305, PLUS Arah Selatan, 43300, Selangor",3.0059334,101.7253717
Starbucks,Starbucks SS2 Petaling Jaya,"3, Jalan SS 2/67, SS 2, 47300 Petaling Jaya, Selangor",3.118488,101.623116
Starbucks,Starbucks Juru Auto-City,"Highway Auto-City, 1821-G1, Jalan Perusahaan, Prai Industrial Estate, 13600 Perai, Penang",5.3376046,100.4284745
Starbucks,Starbucks Taipan,"Ground FLoor, No. 41, Jalan USJ 10/1d, 47620 Subang Jaya",3.0494473,101.5841972
Starbucks,Starbucks E-Gate Penang,"Lot 1, 01-17, Lebuh Tengku Kudin 2, 11700 Jelutong, Penang",5.3765585,100.3156848
Starbucks,Starbucks,"G1-4, WISMA DAJU 5, 21, Jalan Barat, Pjs 8, 46200 Petaling Jaya, Selangor",3.101538,101.6404446
Starbucks,Starbucks Tanjung Tokong DT,"4-G, Jalan Pantai Molek, Kampung Raya Baharu, 10470 Tanjung Tokong, Pulau Pinang",5.4466895,100.3055871
Starbucks,Starbucks Reserve,"11600, Penang, Jelutong, Taman Island Glades, Jln Masjid Negeri",5.3868741,100.3042189
Starbucks,Starbucks Petronas Equine Park DT,"Petronas Station Equine Park 1, Mukim, 43300, Selangor",2.9948037,101.6762841
Starbucks,Starbucks,"Lot 3 . 08 . 00 & 3 . 09 . 00, 168, Jln Bukit Bintang, Bukit Bintang, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1493265,101.7127419
McDonald's,McDonald's Kampar DT,"Sebahagian Lot No. 126028, Jalan Batu Sinar, Taman Bandar Baru, 31900 Kampar, Perak",4.3263678,101.1447186
McDonald's,McDonald's Kajang,"27 & 28, Jln Tun Abdul Aziz, Bandar Kajang, 43000 Kajang, Selangor",2.9916067,101.7912337
McDonald's,McDonald's Seri Iskandar DT,"Plot 531, Bandar Seri Iskandar, Mukim, 32600, Perak",4.357594,100.9696508
McDonald's,McDonald's Jalan Sultan Azlan Shah DT,"Lot 197129, Plot 2, Jalan Medan Ipoh 1A, Medan Ipoh Bestari, 31400 Ipoh, Perak",4.6212801,101.1165696
McDonald's,McDonald's Pengkalan DT,"686, Jalan Pasir Puteh, Kampung Pengkalan Pegoh, 31500 Ipoh, Perak",4.5419,101.0702903
